Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,3,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,0,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,146,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,127,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,144,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,106,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,100,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,99,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,82,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,1353,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,1195,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,1089,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,892,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,741,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,727,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,653,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,3579,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,3193,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,3087,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,2756,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,2344,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,2252,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,35-39 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,2143,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,4631,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,4274,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,40-44 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,4203,,27_385_DF_DCIS_DIVORDEMCONG_5
