Frequenza,Territorio,Indicatore,Rito di esaurimento,Periodo tra la separazione e l'iscrizione a ruolo del procedimento,Modalità di esaurimento,Con figli affidati,Durata del matrimonio,Anno di matrimonio,Numero di figli,Coniuge che ha presentato la domanda di divorzio con rito giudiziale,Tipo di affidamento,Numero di figli affidati,Età dei figli affidati,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2013,27,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2014,16,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2008,56,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2009,60,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2010,50,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2011,60,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2012,52,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2013,45,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2014,38,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2008,24,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2009,24,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2010,18,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2011,26,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2012,20,,27_814_DF_DCIS_DIVFIG_10
annuale,Valle d'Aosta / Vallée d'Aoste,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2013,18,,27_814_DF_DCIS_DIVFIG_10
